country,city,count,locations,firstUpdated,lastUpdated,parameters
DE,Annette Pausch,5923,1,2016-11-21 11:00:00+00:00,2017-07-20 18:00:00+00:00,"['no2', 'o3']"
DE,Baden-Württemberg,130261916,42,2016-11-21 11:00:00+00:00,2021-02-01 00:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'so2']"
DE,Bayern,382863760,55,2016-11-21 11:00:00+00:00,2021-02-01 01:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
DE,Berlin,74542309,16,2016-11-21 11:00:00+00:00,2021-02-01 01:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'so2']"
DE,Brandenburg,87471101,25,2016-11-21 11:00:00+00:00,2021-02-01 00:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
DE,Bremen,83844332,8,2016-11-21 11:00:00+00:00,2021-02-01 01:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
DE,Dagmar Gömer,600,2,2016-11-21 11:00:00+00:00,2016-12-21 11:00:00+00:00,"['no2', 'o3']"
DE,Hamburg,88647428,15,2016-11-21 11:00:00+00:00,2021-02-01 01:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
DE,Heinz Ott,572,1,2016-11-21 11:00:00+00:00,2016-12-19 09:00:00+00:00,"['no2', 'o3', 'pm25']"
DE,Hessen,172462008,35,2016-11-21 11:00:00+00:00,2021-02-01 00:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
DE,Ingrid Zell,948,1,2016-11-21 11:00:00+00:00,2017-03-01 09:00:00+00:00,"['no2', 'o3']"
DE,Joachim Lehmhaus,6732,3,2016-11-21 11:00:00+00:00,2017-06-23 13:00:00+00:00,"['no2', 'o3', 'pm10', 'pm25']"
DE,Manfred Lotz,938,1,2016-11-21 11:00:00+00:00,2016-12-21 11:00:00+00:00,"['co', 'no2', 'pm10', 'pm25']"
DE,Mecklenburg-Vorpommern,65755130,16,2016-11-21 11:00:00+00:00,2021-02-01 00:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
DE,Niedersachsen,240571860,30,2016-11-21 11:00:00+00:00,2021-02-01 01:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
DE,Nordrhein-Westfalen,186949688,62,2016-11-21 11:00:00+00:00,2021-02-01 00:00:00+00:00,"['no2', 'o3', 'pm10', 'pm25', 'so2']"
DE,Rheinland-Pfalz,133746660,27,2016-11-21 11:00:00+00:00,2021-02-01 00:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
DE,Saarland,37321038,11,2016-11-21 11:00:00+00:00,2021-02-01 00:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
DE,Sachsen,83887599,28,2016-11-21 11:00:00+00:00,2021-02-01 00:00:00+00:00,"['no2', 'o3', 'pm10', 'so2']"
DE,Sachsen-Anhalt,71061341,24,2016-11-21 11:00:00+00:00,2021-02-01 00:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
DE,Schleswig-Holstein,59007996,16,2016-11-21 11:00:00+00:00,2021-02-01 01:00:00+00:00,"['no2', 'o3', 'pm10', 'pm25', 'so2']"
DE,Stefan Jacobi,1466,2,2016-11-21 11:00:00+00:00,2017-01-06 09:00:00+00:00,"['no2', 'o3', 'pm10', 'so2']"
DE,Thüringen,160386148,22,2016-11-21 11:00:00+00:00,2021-02-01 01:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
